age;ed;employ;address;income;debtinc;creddebt;othdebt;default
34;2;3;8;21.00;23.10;1.40;3.45;Paga
28;2;5;9;34.00;23.80;3.10;4.99;Paga
47;1;26;21;100.00;12.80;4.58;8.22;Paga
43;4;1;5;26.00;10.60;1.52;1.24;Paga
41;1;13;10;44.00;1.70;0.07;0.68;Paga
47;1;13;25;51.00;23.80;3.74;8.40;Paga
24;1;2;1;21.00;0.60;0.03;0.10;Paga
29;1;1;9;17.00;6.70;0.16;0.98;Paga
33;1;14;2;37.00;2.60;0.20;0.76;Paga
36;1;15;10;39.00;3.20;0.69;0.56;Paga
26;1;4;3;27.00;10.50;2.47;0.36;No paga
31;1;11;12;45.00;17.00;2.74;4.91;Paga
37;1;7;3;32.00;19.60;2.70;3.58;Paga
35;4;4;16;29.00;11.00;1.84;1.35;Paga
26;1;4;3;20.00;5.40;0.32;0.76;Paga
40;1;10;15;45.00;18.80;2.01;6.45;Paga
29;2;5;4;36.00;12.40;3.49;0.97;No paga
37;3;5;17;29.00;24.60;1.41;5.73;Paga
32;1;12;12;28.00;2.90;0.12;0.70;Paga
23;2;0;1;17.00;27.70;2.04;2.67;No paga
32;1;3;10;23.00;6.20;0.05;1.37;Paga
25;1;1;6;15.00;11.40;0.37;1.34;No paga
38;1;5;5;54.00;10.60;1.50;4.22;Paga
32;2;0;6;18.00;5.80;0.30;0.75;No paga
41;3;2;0;15.00;26.30;1.96;1.98;No paga
36;1;17;6;54.00;4.40;0.73;1.65;Paga
42;3;13;0;82.00;3.30;1.32;1.39;Paga
41;1;14;8;52.00;7.30;0.93;2.87;Paga
29;2;4;9;19.00;6.30;0.68;0.52;Paga
38;3;4;6;31.00;9.30;1.33;1.55;No paga
39;1;22;9;113.00;2.60;0.99;1.95;Paga
36;1;6;9;26.00;8.30;0.03;2.13;Paga
33;1;8;7;27.00;5.80;0.78;0.79;Paga
42;2;21;11;121.00;3.10;1.37;2.39;Paga
41;2;22;17;75.00;23.60;9.88;7.82;Paga
40;1;8;17;28.00;3.60;0.53;0.47;Paga
53;1;9;18;50.00;11.20;2.02;3.58;No paga
28;1;4;7;26.00;13.50;1.30;2.21;Paga
36;2;12;13;60.00;7.90;1.72;3.02;Paga
34;2;9;13;45.00;10.10;1.12;3.43;Paga
45;3;2;5;39.00;4.90;0.46;1.45;Paga
38;1;6;0;41.00;8.90;0.27;3.38;Paga
21;3;0;2;24.00;7.70;0.83;1.01;Paga
42;1;12;11;51.00;21.40;2.41;8.50;Paga
52;1;16;25;64.00;8.60;1.87;3.64;Paga
25;2;4;6;33.00;5.20;0.55;1.16;Paga
34;2;9;9;65.00;6.20;2.11;1.92;Paga
40;2;15;16;73.00;3.40;1.03;1.45;Paga
31;2;0;4;27.00;12.80;1.09;2.37;No paga
25;1;1;0;20.00;6.70;0.47;0.87;No paga
45;1;12;19;37.00;9.50;1.34;2.17;Paga
23;1;3;0;19.00;8.40;0.28;1.32;No paga
34;4;6;3;27.00;35.30;1.98;7.55;No paga
31;1;2;4;22.00;12.70;1.09;1.70;No paga
28;1;5;9;22.00;2.80;0.14;0.48;Paga
41;1;7;11;43.00;4.40;0.69;1.20;Paga
39;2;7;2;68.00;13.00;1.02;7.82;No paga
29;2;9;3;36.00;1.40;0.13;0.38;Paga
21;1;5;1;25.00;9.00;0.37;1.88;Paga
41;2;19;2;68.00;5.80;1.51;2.44;Paga
26;4;1;7;27.00;2.90;0.31;0.47;Paga
33;1;5;10;18.00;12.90;0.98;1.34;Paga
45;2;18;19;35.00;17.40;0.55;5.54;Paga
39;1;17;20;60.00;13.70;2.45;5.77;Paga
24;1;7;2;21.00;6.30;0.52;0.80;Paga
29;2;6;7;57.00;2.20;0.45;0.80;Paga
27;2;1;0;23.00;12.40;0.29;2.57;Paga
40;1;13;2;28.00;5.90;0.96;0.69;Paga
29;1;8;10;24.00;6.70;0.47;1.14;Paga
29;2;4;3;37.00;6.60;1.16;1.28;No paga
24;1;0;2;16.00;16.00;1.01;1.55;No paga
27;1;9;6;45.00;17.80;2.85;5.16;No paga
41;3;16;22;135.00;4.40;1.28;4.66;Paga
31;1;11;8;25.00;9.10;0.14;2.13;Paga
41;1;16;17;68.00;5.40;0.45;3.22;Paga
42;2;5;3;41.00;3.40;0.36;1.04;Paga
28;4;1;3;26.00;12.40;0.38;2.85;Paga
30;4;2;8;25.00;10.00;1.77;0.73;Paga
30;1;11;1;33.00;8.40;0.68;2.09;Paga
31;1;8;4;44.00;8.00;1.72;1.80;Paga
45;2;15;14;51.00;18.10;1.55;7.68;Paga
43;1;13;23;76.00;6.10;2.15;2.48;No paga
36;1;4;10;23.00;16.30;1.33;2.42;Paga
28;1;8;6;30.00;7.20;0.61;1.55;Paga
27;2;3;5;33.00;13.20;1.63;2.72;Paga
36;3;13;3;39.00;19.20;2.80;4.69;Paga
33;1;12;11;32.00;11.30;2.10;1.51;Paga
54;1;9;2;28.00;14.80;1.56;2.59;No paga
33;1;9;4;29.00;13.80;1.35;2.65;No paga
31;1;9;5;26.00;4.50;0.31;0.86;Paga
21;1;4;0;26.00;8.90;1.42;0.89;Paga
28;3;5;9;44.00;8.70;0.77;3.05;Paga
31;2;2;1;26.00;6.80;0.28;1.49;No paga
32;1;8;6;26.00;4.10;0.33;0.74;Paga
35;2;1;8;24.00;12.50;0.59;2.41;No paga
40;2;13;11;102.00;18.90;6.23;13.05;No paga
22;1;4;2;24.00;15.60;1.64;2.11;No paga
39;1;4;9;38.00;6.50;1.18;1.29;Paga
41;4;14;3;44.00;1.70;0.35;0.39;Paga
34;1;16;9;79.00;4.00;1.73;1.43;Paga
29;1;7;9;22.00;9.70;0.55;1.58;Paga
31;1;4;10;28.00;11.30;0.29;2.87;Paga
32;1;1;0;20.00;4.80;0.31;0.65;No paga
32;1;14;7;73.00;8.80;3.75;2.67;Paga
33;1;6;14;21.00;7.50;0.57;1.01;Paga
26;1;6;0;22.00;10.30;0.72;1.55;Paga
21;1;1;1;18.00;17.30;0.16;2.96;Paga
28;2;7;2;34.00;7.00;0.36;2.02;Paga
37;1;13;5;24.00;8.90;0.60;1.53;Paga
33;2;2;14;35.00;22.90;2.12;5.89;No paga
39;1;12;10;46.00;5.00;0.56;1.74;Paga
40;2;8;19;57.00;5.60;0.88;2.31;Paga
45;3;16;21;80.00;3.00;0.91;1.49;Paga
27;1;10;6;34.00;6.50;0.85;1.36;Paga
28;4;0;7;29.00;24.20;1.42;5.59;Paga
39;1;13;9;27.00;8.00;0.97;1.19;Paga
40;1;14;21;43.00;15.00;2.79;3.66;No paga
27;1;11;8;56.00;16.90;4.64;4.83;Paga
36;1;1;4;16.00;9.30;0.43;1.05;Paga
55;1;19;2;78.00;15.60;4.40;7.76;Paga
27;2;4;3;22.00;13.20;1.09;1.82;No paga
30;1;1;8;17.00;11.00;0.75;1.12;Paga
36;1;10;0;28.00;11.20;0.82;2.32;No paga
31;1;1;6;21.00;2.50;0.28;0.25;No paga
33;2;13;2;40.00;7.20;0.18;2.70;Paga
30;1;4;0;33.00;4.20;0.50;0.89;Paga
24;1;1;0;18.00;5.90;0.24;0.82;No paga
33;4;9;10;28.00;4.30;0.38;0.83;Paga
50;1;8;27;47.00;6.90;0.40;2.84;Paga
31;2;6;6;32.00;23.10;3.34;4.05;No paga
28;1;3;7;19.00;4.10;0.26;0.52;Paga
44;3;8;10;88.00;6.10;0.28;5.08;No paga
48;4;3;23;45.00;9.80;0.97;3.44;Paga
36;2;0;17;30.00;9.70;0.33;2.58;Paga
29;3;7;1;63.00;5.50;0.57;2.89;Paga
40;3;17;11;116.00;6.00;2.56;4.40;Paga
33;1;7;6;26.00;6.00;0.54;1.02;Paga
26;2;6;6;30.00;1.00;0.14;0.16;Paga
36;1;14;11;81.00;7.20;1.78;4.05;Paga
26;2;6;0;35.00;1.90;0.09;0.58;Paga
40;3;16;6;116.00;12.10;1.61;12.42;Paga
44;1;5;3;48.00;9.00;1.97;2.35;No paga
29;3;1;10;30.00;4.50;0.28;1.07;Paga
35;3;5;3;37.00;5.40;0.58;1.42;No paga
34;1;16;3;75.00;10.40;3.95;3.85;Paga
34;3;12;8;47.00;6.70;1.30;1.85;Paga
46;1;14;25;35.00;10.20;1.35;2.22;Paga
41;2;21;22;145.00;12.20;3.24;14.45;Paga
27;2;7;8;30.00;4.00;0.45;0.75;No paga
27;4;0;6;70.00;8.00;1.62;3.98;No paga
28;1;11;6;24.00;2.40;0.11;0.47;Paga
48;3;0;27;19.00;10.80;0.85;1.20;Paga
48;3;17;26;113.00;12.00;3.38;10.18;Paga
29;3;5;6;70.00;19.90;3.18;10.75;No paga
43;2;9;5;60.00;20.40;4.04;8.20;No paga
23;1;5;2;17.00;7.90;0.30;1.04;Paga
29;2;10;8;44.00;18.10;3.70;4.26;Paga
40;4;5;6;75.00;1.90;0.88;0.54;Paga
22;2;0;3;20.00;5.60;0.21;0.91;Paga
23;1;7;3;22.00;14.40;0.85;2.32;Paga
46;3;9;10;60.00;15.30;1.61;7.57;Paga
55;1;3;11;40.00;8.00;0.56;2.64;No paga
38;2;8;16;38.00;0.60;0.03;0.20;Paga
35;2;5;1;33.00;2.80;0.10;0.82;Paga
30;1;11;9;27.00;0.90;0.07;0.17;Paga
24;1;7;0;18.00;6.50;0.53;0.64;Paga
26;2;4;3;28.00;9.50;0.23;2.43;Paga
32;2;2;11;15.00;9.10;0.12;1.25;No paga
37;2;11;4;75.00;3.50;0.63;1.99;Paga
39;1;6;19;42.00;19.90;2.54;5.82;No paga
30;2;4;4;21.00;18.30;0.49;3.35;Paga
30;1;10;11;39.00;9.50;2.06;1.65;Paga
32;2;7;10;32.00;4.30;0.43;0.94;Paga
54;3;21;20;118.00;14.40;9.60;7.39;Paga
27;3;3;4;35.00;13.30;1.60;3.05;Paga
31;1;12;4;31.00;23.70;2.06;5.29;Paga
39;1;15;16;39.00;1.80;0.14;0.56;Paga
31;1;5;3;25.00;14.10;1.18;2.35;Paga
35;1;15;11;40.00;18.50;1.21;6.19;Paga
35;2;10;16;98.00;13.30;4.87;8.16;Paga
46;2;22;17;144.00;11.10;3.32;12.66;Paga
33;1;13;3;52.00;21.30;2.71;8.36;No paga
35;2;13;3;105.00;1.90;1.42;0.58;Paga
35;2;1;1;21.00;7.90;0.37;1.29;Paga
38;1;5;13;21.00;9.00;0.45;1.44;Paga
41;1;19;1;96.00;7.80;2.25;5.23;Paga
38;1;18;19;44.00;4.50;0.61;1.37;Paga
34;3;2;14;39.00;13.20;1.14;4.01;Paga
51;3;16;25;82.00;4.40;2.60;1.00;Paga
34;2;10;2;33.00;9.50;0.57;2.56;Paga
47;1;15;1;30.00;24.50;2.21;5.14;Paga
34;2;8;6;78.00;5.40;2.16;2.06;Paga
27;2;8;7;18.00;11.90;0.40;1.74;Paga
52;1;9;11;24.00;19.20;0.80;3.81;No paga
39;1;9;6;35.00;5.00;0.23;1.52;Paga
33;1;7;0;22.00;6.40;0.63;0.78;Paga
34;1;0;1;21.00;7.20;0.19;1.32;Paga
31;3;9;7;59.00;14.60;3.11;5.50;No paga
28;1;2;9;16.00;15.20;0.87;1.56;Paga
39;1;19;16;45.00;3.70;0.92;0.75;Paga
51;2;22;23;120.00;7.60;4.14;4.98;Paga
22;1;4;1;16.00;1.20;0.08;0.11;Paga
27;3;6;4;26.00;10.40;0.93;1.77;Paga
32;1;16;10;38.00;21.00;0.69;7.29;Paga
28;2;6;7;38.00;7.20;0.77;1.96;Paga
27;2;1;0;20.00;10.30;0.38;1.68;No paga
26;2;2;6;24.00;13.60;1.58;1.69;No paga
32;1;14;0;36.00;2.40;0.27;0.59;Paga
30;1;0;11;17.00;3.70;0.45;0.18;No paga
39;1;13;1;38.00;8.90;1.90;1.48;Paga
31;1;11;6;28.00;4.80;0.35;1.00;No paga
34;1;15;2;39.00;24.70;4.37;5.26;No paga
31;1;8;3;41.00;12.60;0.13;5.03;Paga
29;2;1;7;25.00;10.40;0.57;2.03;Paga
29;1;9;0;25.00;13.90;1.07;2.40;Paga
35;2;9;16;30.00;7.60;0.65;1.63;Paga
29;1;11;7;32.00;6.00;0.93;0.99;Paga
38;2;2;16;22.00;22.70;1.21;3.79;No paga
35;1;16;15;36.00;3.40;0.18;1.05;Paga
29;1;11;5;36.00;6.10;0.71;1.49;Paga
23;2;3;4;34.00;4.40;0.26;1.23;Paga
33;4;9;8;32.00;5.50;0.50;1.26;Paga
51;2;19;25;159.00;2.80;1.07;3.38;Paga
24;1;4;2;21.00;2.60;0.10;0.45;Paga
31;1;10;12;49.00;9.80;3.24;1.57;No paga
45;1;10;14;52.00;5.40;0.93;1.88;Paga
29;1;3;1;17.00;9.00;0.47;1.06;Paga
34;1;0;10;20.00;17.10;2.05;1.37;Paga
25;2;4;5;27.00;5.00;0.55;0.80;No paga
37;1;20;2;56.00;1.90;0.54;0.52;Paga
47;1;29;18;129.00;25.30;20.56;12.08;No paga
43;2;6;24;54.00;9.60;0.62;4.56;Paga
47;1;22;19;81.00;5.50;1.51;2.95;Paga
24;1;6;2;21.00;5.20;0.11;0.98;Paga
27;3;5;1;75.00;6.30;2.21;2.52;Paga
25;1;9;4;18.00;1.20;0.07;0.15;Paga
36;3;11;12;44.00;14.70;0.45;6.02;Paga
39;1;16;20;57.00;19.40;1.56;9.50;Paga
26;1;10;1;25.00;7.10;1.31;0.47;Paga
41;1;4;19;25.00;10.10;1.06;1.46;Paga
39;1;19;15;60.00;27.10;9.59;6.67;No paga
37;1;18;8;54.00;12.10;4.59;1.94;Paga
29;1;2;0;14.00;14.40;0.59;1.43;No paga
42;1;6;9;31.00;11.60;1.02;2.57;Paga
31;4;1;6;29.00;11.10;1.07;2.15;Paga
36;1;4;15;17.00;17.30;0.52;2.42;Paga
39;1;16;4;52.00;20.00;4.16;6.24;Paga
23;4;0;2;23.00;6.70;0.47;1.07;Paga
39;1;4;15;33.00;7.00;0.40;1.91;Paga
27;3;4;1;40.00;3.10;0.28;0.96;No paga
24;1;8;4;24.00;5.00;0.38;0.82;Paga
27;3;3;4;45.00;11.00;0.29;4.66;No paga
41;1;16;22;49.00;1.60;0.43;0.35;Paga
38;1;0;8;23.00;8.10;0.90;0.97;No paga
40;2;5;12;35.00;16.40;1.58;4.16;No paga
54;1;25;12;120.00;26.50;14.60;17.20;No paga
40;1;12;6;89.00;17.40;2.77;12.71;Paga
40;1;2;4;32.00;3.70;0.85;0.33;Paga
29;1;1;8;31.00;8.00;0.16;2.32;Paga
30;1;8;6;23.00;12.00;0.76;2.00;Paga
29;1;1;1;18.00;1.10;0.03;0.17;Paga
29;3;3;3;50.00;2.40;0.26;0.94;No paga
28;4;2;4;41.00;2.50;0.46;0.57;No paga
28;4;0;5;38.00;10.40;0.64;3.32;Paga
39;2;16;9;89.00;14.30;5.00;7.73;Paga
32;1;11;2;53.00;3.30;0.09;1.66;Paga
36;2;7;16;43.00;15.40;2.65;3.97;Paga
39;1;20;12;39.00;8.20;0.77;2.42;Paga
28;3;6;8;47.00;19.80;5.57;3.73;No paga
28;1;4;2;28.00;14.20;0.44;3.54;No paga
46;1;6;19;31.00;12.20;1.99;1.80;Paga
30;2;4;8;15.00;6.50;0.35;0.62;Paga
39;2;15;19;32.00;4.90;0.42;1.15;Paga
40;3;5;3;220.00;16.00;8.17;27.03;No paga
44;2;18;4;74.00;13.40;4.52;5.39;Paga
30;1;0;8;19.00;16.60;0.62;2.53;No paga
24;2;3;0;19.00;4.30;0.36;0.46;Paga
32;1;10;13;32.00;11.30;1.17;2.45;Paga
29;2;3;8;15.00;2.60;0.15;0.24;Paga
40;2;2;1;36.00;3.80;0.28;1.09;Paga
41;2;8;21;43.00;0.70;0.09;0.22;Paga
22;1;1;3;17.00;18.60;0.81;2.36;Paga
38;1;10;8;34.00;1.20;0.04;0.37;Paga
37;2;6;13;62.00;8.50;1.19;4.08;Paga
41;3;18;6;71.00;15.70;6.57;4.58;No paga
41;3;7;6;56.00;14.50;0.37;7.75;No paga
39;1;2;15;22.00;23.10;1.92;3.17;No paga
24;2;0;2;15.00;16.10;0.32;2.09;No paga
32;3;9;10;51.00;23.00;2.69;9.04;Paga
21;3;0;1;26.00;7.70;1.53;0.47;Paga
29;1;13;7;27.00;2.30;0.07;0.55;Paga
35;2;14;3;82.00;0.80;0.47;0.19;Paga
29;1;6;7;21.00;18.10;1.11;2.69;Paga
41;2;2;22;30.00;6.70;0.11;1.90;Paga
37;1;0;18;18.00;12.90;1.58;0.74;No paga
32;2;3;13;47.00;1.90;0.43;0.46;Paga
36;5;5;12;20.00;8.10;0.73;0.89;Paga
39;2;18;9;44.00;2.10;0.37;0.56;Paga
36;1;18;9;67.00;11.20;5.25;2.26;Paga
46;3;22;4;99.00;2.30;0.83;1.45;Paga
34;1;13;11;51.00;9.60;1.88;3.02;Paga
27;1;7;4;26.00;9.10;0.64;1.72;Paga
43;1;8;11;45.00;3.30;0.68;0.81;Paga
33;1;14;8;72.00;41.30;15.02;14.72;No paga
39;2;20;17;101.00;1.40;0.34;1.07;Paga
29;1;1;4;17.00;2.50;0.13;0.29;Paga
34;4;7;15;40.00;6.40;0.95;1.61;Paga
26;1;1;0;21.00;4.90;0.61;0.42;Paga
31;1;15;2;60.00;4.80;0.80;2.08;Paga
26;1;10;6;24.00;2.70;0.31;0.34;Paga
28;1;12;7;45.00;7.70;1.85;1.61;Paga
48;1;13;20;50.00;30.80;6.11;9.29;No paga
39;2;2;12;46.00;16.00;4.00;3.36;No paga
37;1;3;3;25.00;3.70;0.28;0.65;Paga
52;5;9;0;70.00;9.40;1.33;5.25;No paga
48;1;3;11;27.00;21.30;1.40;4.35;Paga
26;1;7;3;22.00;5.10;0.21;0.91;Paga
46;5;15;0;126.00;3.10;0.48;3.43;Paga
31;1;7;10;23.00;4.90;0.23;0.90;Paga
34;1;13;8;56.00;6.10;0.86;2.55;Paga
40;1;22;4;95.00;3.60;0.63;2.79;Paga
24;3;2;5;16.00;6.40;0.27;0.75;No paga
33;1;2;14;44.00;3.10;0.53;0.84;Paga
53;4;5;29;78.00;17.30;6.94;6.56;No paga
47;3;9;1;52.00;20.10;2.54;7.91;No paga
35;1;5;5;32.00;13.00;0.17;3.99;Paga
34;1;14;8;28.00;17.00;1.14;3.62;Paga
49;1;11;5;39.00;10.10;2.46;1.48;Paga
26;2;0;7;28.00;9.30;1.27;1.33;Paga
23;1;2;2;16.00;9.60;0.80;0.73;No paga
23;2;0;4;21.00;8.70;0.45;1.37;Paga
38;2;4;13;56.00;1.60;0.44;0.45;Paga
28;2;5;2;37.00;8.30;1.12;1.95;Paga
30;3;0;8;65.00;29.70;3.90;15.41;No paga
34;1;18;10;34.00;15.40;2.10;3.14;Paga
50;2;16;14;71.00;11.10;1.66;6.22;Paga
29;1;12;2;40.00;6.70;1.63;1.05;Paga
42;3;0;9;64.00;6.60;0.28;3.95;Paga
31;1;13;12;27.00;5.00;0.24;1.11;Paga
39;1;10;4;31.00;4.80;0.18;1.30;Paga
45;2;21;26;132.00;3.00;2.56;1.40;Paga
45;1;22;24;91.00;11.70;1.26;9.39;Paga
36;1;14;17;53.00;5.70;1.89;1.13;Paga
25;4;0;6;24.00;12.10;1.60;1.31;No paga
29;2;1;7;29.00;21.20;2.33;3.82;No paga
30;2;8;4;56.00;6.40;0.33;3.25;Paga
31;1;1;1;24.00;4.50;0.22;0.86;Paga
43;1;4;2;29.00;4.60;0.05;1.28;Paga
32;2;11;4;57.00;23.80;5.44;8.13;No paga
47;1;19;7;50.00;30.10;3.18;11.87;Paga
46;1;1;15;21.00;14.80;1.38;1.73;No paga
43;2;16;10;83.00;4.10;0.26;3.14;Paga
48;1;3;7;24.00;7.00;0.76;0.92;Paga
30;3;8;7;61.00;2.80;0.55;1.16;Paga
23;4;0;4;32.00;18.40;0.82;5.07;No paga
36;4;8;0;32.00;1.60;0.02;0.49;Paga
20;3;0;1;17.00;2.30;0.04;0.35;Paga
43;1;16;7;89.00;0.40;0.16;0.20;Paga
23;1;2;1;25.00;4.50;0.12;1.00;No paga
41;1;21;2;76.00;20.50;6.95;8.63;Paga
34;1;12;5;68.00;25.10;7.82;9.25;No paga
50;1;11;5;36.00;4.80;0.83;0.89;Paga
40;1;9;4;64.00;6.60;0.79;3.43;Paga
29;2;0;8;22.00;12.90;1.04;1.80;No paga
39;2;9;16;56.00;18.70;4.76;5.71;Paga
24;2;1;2;42.00;5.70;0.84;1.56;Paga
27;1;0;5;16.00;1.10;0.13;0.05;Paga
40;3;18;14;157.00;6.60;3.33;7.04;Paga
32;2;8;2;45.00;3.70;0.98;0.68;Paga
39;2;16;12;53.00;3.70;0.69;1.27;Paga
40;1;22;1;100.00;14.60;5.40;9.20;Paga
32;1;10;11;42.00;9.10;1.54;2.28;Paga
39;1;23;1;75.00;18.90;3.13;11.04;Paga
24;1;3;3;21.00;28.90;2.68;3.39;No paga
43;4;18;14;446.00;6.50;16.03;12.96;No paga
56;1;11;20;59.00;15.00;4.67;4.18;Paga
32;3;5;9;23.00;4.50;0.33;0.71;Paga
42;1;7;12;25.00;10.20;1.63;0.92;Paga
46;3;3;13;43.00;13.20;3.04;2.63;No paga
31;1;2;2;22.00;16.40;1.74;1.87;No paga
43;1;25;16;242.00;2.60;1.64;4.66;Paga
28;2;6;9;22.00;11.50;0.65;1.88;Paga
39;3;11;17;39.00;12.90;2.56;2.47;Paga
39;1;0;8;39.00;7.90;1.07;2.01;Paga
37;4;1;14;33.00;16.10;2.69;2.62;No paga
30;1;0;11;17.00;12.00;0.30;1.74;Paga
37;5;9;16;177.00;5.90;0.89;9.56;Paga
22;1;4;3;14.00;17.50;0.23;2.22;Paga
50;1;1;26;26.00;14.30;1.85;1.87;Paga
30;1;10;2;19.00;4.40;0.34;0.50;Paga
39;1;8;0;21.00;4.00;0.28;0.56;Paga
21;2;0;2;21.00;12.50;0.49;2.14;No paga
31;3;9;2;28.00;2.60;0.12;0.61;Paga
31;2;9;1;30.00;5.80;0.60;1.14;Paga
48;1;0;23;30.00;22.30;2.66;4.03;Paga
28;1;4;1;16.00;23.80;1.09;2.72;Paga
47;3;16;26;221.00;17.60;15.79;23.10;No paga
27;2;6;1;34.00;4.40;0.24;1.26;Paga
29;2;6;10;65.00;18.40;1.99;9.97;Paga
21;2;2;0;20.00;4.50;0.29;0.61;No paga
29;1;7;5;20.00;19.80;1.01;2.95;No paga
24;4;0;3;29.00;6.60;0.59;1.32;No paga
44;1;12;3;31.00;9.70;0.36;2.65;Paga
22;1;1;0;18.00;4.40;0.27;0.52;Paga
38;2;13;0;59.00;2.40;0.41;1.01;Paga
52;2;12;16;76.00;7.70;0.99;4.86;Paga
25;1;3;2;18.00;16.30;0.35;2.58;No paga
25;1;5;5;22.00;10.90;0.40;2.00;Paga
51;2;27;21;166.00;11.50;0.82;18.27;Paga
38;1;21;16;58.00;16.50;4.58;4.99;Paga
44;1;9;20;33.00;5.20;0.55;1.17;Paga
24;2;2;3;26.00;9.70;0.89;1.63;No paga
34;1;5;3;33.00;7.30;0.78;1.63;Paga
25;2;6;2;26.00;4.50;0.07;1.10;Paga
45;3;5;17;94.00;10.50;3.61;6.26;No paga
34;2;4;10;25.00;5.80;0.57;0.88;Paga
27;4;2;8;23.00;5.70;0.32;0.99;No paga
33;2;10;13;57.00;20.90;6.11;5.80;No paga
35;2;0;16;22.00;15.00;1.97;1.33;No paga
50;2;15;31;60.00;1.10;0.47;0.19;Paga
33;1;13;13;42.00;3.60;0.23;1.28;Paga
41;3;13;13;91.00;25.20;2.32;20.62;No paga
28;1;0;2;28.00;33.30;2.28;7.04;No paga
38;3;12;14;63.00;16.00;5.72;4.36;No paga
25;1;3;2;16.00;17.80;1.01;1.84;No paga
47;2;4;9;33.00;7.10;1.19;1.15;No paga
30;2;12;9;98.00;7.20;2.94;4.12;Paga
